% Model,verification_1a.mph
% Version,COMSOL 5.2.0.220
% Date,"May 17 2017, 10:03"
% Table,Probe Table 6 - 
% wm ,"mf.Az*2*pi*fs*1[m]*1i (V), EAplus","mf.Az*2*pi*fs*1[m]*1i (V), ECminus","mf.Az*2*pi*fs*1[m]*1i (V), EBplus","mf.Az*2*pi*fs*1[m]*1i (V), EAminus","mf.Az*2*pi*fs*1[m]*1i (V), ECplus","mf.Az*2*pi*fs*1[m]*1i (V), EBminus","mf.normJ^2/sigma_aluminum*1[m] (W), Pcoat","mf.normJ^2/sigma_iron*1[m] (W), Psteel",mf.Tax_1*2 (N*m)
500,-0.21593679053507425+0.42495638082082093i,0.26005452442175786+0.39948513037435257i,0.4759916649307087-0.025471282616324812i,0.21593676893742203-0.42495635328735576i,-0.26005450992245566-0.39948498486724315i,-0.4759916623017308+0.0254712577541597i,851.5417112465741,13.055842172226662,-7.016679863278442
525,-0.20331100290294116+0.38889960860880973i,0.23514133315055002+0.3705224240159178i,0.4384526210946019-0.01837714726652308i,0.2033109821074236-0.3888995869416049i,-0.23514133260468176-0.3705222772164764i,-0.43845262206877816+0.018377128753385742i,964.909690632661,14.579167392163441,-6.603412645761976
550,-0.18924081783692087+0.36244041907528773i,0.21926210539115426+0.34510763792178845i,0.4085031422278908-0.01733270093589403i,0.18924079859953613-0.36244040210374545i,-0.2192621171364679-0.34510749204207286i,-0.40850314640886465+0.017332687223752478i,1050.098349126283,15.599287074342469,-6.1431380658787855
575,-0.17558218772562378+0.3428224215345747i,0.20910175378606727+0.3234698771118422i,0.38468409834930467-0.019352440582637655i,0.17558217033052553-0.34282240835071964i,-0.20910177634002786-0.3234697335760451i,-0.3846841053481756+0.019352430624758974i,1115.404754124549,16.254968745931116,-5.696283261097312
600,-0.16304149787439626+0.328039856167266i,0.20257004274166054+0.30521800715654773i,0.3656116411501436-0.022821735310491233i,0.16304148237631824-0.32803984612026865i,-0.2025700748260865-0.3052178669114327i,-0.3656116506309949+0.02282172835879486i,1166.8589851064955,16.648454169253252,-5.28584975765499
625,-0.15180753541239414+0.3166993641902293i,0.19836589227905566+0.28981884112278117i,0.3501734783444466-0.02688040929193849i,0.15180752176647722-0.31669935683789113i,-0.1983659327987474-0.2898187048144701i,-0.3501734900263115+0.02688040478140761i,1208.641905164337,16.852075629617122,-4.917988077916042
650,-0.14184976781336248+0.30784252832732883i,0.1956745536135859+0.2767667267600679i,0.33752432853529296-0.031075694637578023i,0.14184975594372148-0.3078425233858231i,-0.1956746016270893-0.2767665948382636i,-0.33752434218192107+0.031075692119835543i,1243.621266626358,16.91680686099691,-4.591708420762501
675,-0.13305445132207966+0.3008064544925753i,0.19397881473731715+0.2656317106928406i,0.32703323558539954-0.035174648555698004i,0.13305444115766113-0.3008064517944558i,-0.19397886943015946-0.2656315834751649i,-0.3270332509935995+0.03517464766021674i,1273.7729173082787,16.878977539579115,-4.303311687435505
700,-0.12528507943105477+0.29512702269245333i,0.19294498877663346+0.25606351373873165i,0.31823000562265796-0.0390634287037924i,0.12528507092378122-0.29512702215368947i,-0.19294504943891574-0.2560633914522587i,-0.31823002261242384+0.03906342911482273i,1300.4731330347663,16.764926750271258,-4.048357355673424
725,-0.11840803158041874+0.29047441528042545i,0.19235425534068518+0.24778150740957977i,0.3107621971706379-0.04269284478468258i,0.1184080247136356-0.2904744168751129i,-0.19235432134864416-0.24778139021867798i,-0.3107622155776663+0.042692846227197594i,1324.6934426141001,16.594102619551133,-3.8224984525343944
750,-0.1123023652935431+0.28661056592848677i,0.19206091410272363+0.2405619185916612i,0.30436316690551307-0.04604860273121183i,0.11230236008500832-0.2866105696695331i,-0.19206098490348344-0.24056180661713367i,-0.3043631865758585+0.04604860496214615i,1347.1292109176663,16.381112107481208,-3.62180033035197
775,-0.10686251476338211+0.28336096653662174i,0.1919666195249508+0.23422607001021112i,0.2988290029868511-0.049134871077696145i,0.10686251126525088-0.2833609724610051i,-0.19196669462381924-0.23422596334267012i,-0.2988290237732795+0.04913487388026021i,1368.2848170781708,16.137087510902315,-3.4428285236286564
800,-0.10199795289464339+0.280595796469613i,0.19200420724529826+0.22863065214078873i,0.29400201349588745-0.05196513823339397i,0.10199795119176025-0.28059580462706957i,-0.19200428619507978-0.2286305508499908i,-0.2940020352554591+0.051965141413262916i,1388.5306392102752,15.87061229890433,-3.2826377591046554
825,-0.09763168669217036+0.2782171262774816i,0.192127364458961+0.22366002201638746i,0.28975889220938333-0.054557117358090816i,0.09763168689946171-0.27821713672182297i,-0.19212744685093086-0.22365992615771593i,-0.28975891480194904+0.05455712074068361i,1408.141661563516,15.588361484365597,-3.138722990461712
850,-0.09369843230483935+0.27615011723865185i,0.19230392096297777+0.21922022252374931i,0.2860021846890778-0.056929926580853045i,0.09369843456425285-0.2761501300210415i,-0.19230400641925235-0.21922013214256802i,-0.2860022079763535+0.05692993000930177i,1427.3239904130862,15.295554822141764,-3.0089600073629916
875,-0.09014283537500906+0.27433688177521653i,0.19251142193546508+0.2152343713746776i,0.2826540814096143-0.05910256042260417i,0.09014283985226348-0.274336896938992i,-0.19251151010257528-0.2152342865091319i,-0.2826541052546669+0.0591025637561535i,1446.2333188380796,14.996285176781278,-2.8915475213500175
900,-0.08691787777273835+0.2727321397285183i,0.19273416278626201+0.21163910942396377i,0.279651859341635-0.06109309773730085i,0.08691788465402309-0.2727321573051972i,-0.19273425332977945-0.2116390301066055i,-0.2796518836086196+0.06109310084998716i,1464.9879603223321,14.693761920153213,-2.7849553206423865
925,-0.08398350899319872+0.2713001034451437i,0.1929611758592454+0.20838185795850558i,0.27694450004913584-0.06291832949593579i,0.08398351848191182-0.2713001234513554i,-0.19296126845933265-0.2083817842170499i,-0.276944524603194+0.0629183322754793i,1483.67816986881,14.390495160578903,-2.687879739456782
